tick|t_min|agg_exp|gross|net|gross_lim|net_lim|nlv|SPNG:pos,bid,ask,our_bid,our_ask,qty|SMMR:pos,bid,ask,our_bid,our_ask,qty|ATMN:pos,bid,ask,our_bid,our_ask,qty|WNTR:pos,bid,ask,our_bid,our_ask,qty|actions
28|28|0.0|0.0|0.0|50000|30000|0.00|0.0,24.56,24.92,24.57,24.91,3000|0.0,24.94,25.01,24.95,25.0,6000|0.0,24.95,24.82,0,0,0|0.0,24.89,25.05,24.9,25.04,7500|quote:SPNG:3000:24.57/24.91;quote:SMMR:6000:24.95/25.00;quote:WNTR:7500:24.90/25.04
29|29|16500.0|16500.0|-4500.0|50000|30000|480.00|-3000.0,24.79,25.19,25.09,25.87,2280|6000.0,24.86,24.96,23.67,24.87,312|0.0,24.68,24.82,24.69,24.81,4500|-7500.0,25.11,25.12,25.06,26.68,300|quote:SPNG:2280:25.09/25.87;quote:SMMR:312:23.67/24.87;quote:ATMN:4500:24.69/24.81;quote:WNTR:300:25.06/26.68
30|30|13908.0|13908.0|-2532.0|50000|30000|651.90|-720.0,24.83,25.22,24.91,25.42,2827|5688.0,24.9,24.91,23.76,24.91,326|0.0,24.73,24.81,24.74,24.8,4500|-7500.0,24.84,24.94,24.93,26.43,300|quote:SPNG:2827:24.91/25.42;quote:SMMR:326:23.76/24.91;quote:ATMN:4500:24.74/24.80;quote:WNTR:300:24.93/26.43
31|31|14669.0|14669.0|269.0|50000|30000|-907.08|2107.0,24.66,24.73,24.19,24.73,2494|5362.0,24.97,25.04,23.91,24.98,342|0.0,24.72,24.8,24.73,24.79,4500|-7200.0,24.93,24.94,24.93,26.39,318|quote:SPNG:2494:24.19/24.73;quote:SMMR:342:23.91/24.98;quote:ATMN:4500:24.73/24.79;quote:WNTR:318:24.93/26.39
32|32|16831.0|16831.0|-6107.0|50000|30000|657.36|-387.0,25.29,25.32,25.14,25.57,2907|5362.0,24.86,24.89,23.79,24.87,342|-4500.0,24.69,24.73,24.72,25.62,288|-6582.0,24.91,24.86,0,0,0|quote:SPNG:2907:25.14/25.57;quote:SMMR:342:23.79/24.87;quote:ATMN:288:24.72/25.62
33|33|18622.0|18622.0|-3542.0|50000|30000|1273.90|2520.0,25.0,25.32,24.44,25.08,2395|5020.0,24.85,24.87,23.85,24.860000000000003,359|-4500.0,24.86,24.82,0,0,0|-6582.0,24.91,24.86,0,0,0|quote:SPNG:2395:24.44/25.08;quote:SMMR:359:23.85/24.86
34|34|16227.0|16227.0|-5937.0|50000|30000|273.65|125.0,25.0,25.32,24.99,25.29,2970|5020.0,24.88,24.89,23.87,24.89,359|-4500.0,24.86,24.82,0,0,0|-6582.0,24.91,24.88,0,0,0|quote:SPNG:2970:24.99/25.29;quote:SMMR:359:23.87/24.89
35|35|19197.0|19197.0|-2967.0|50000|30000|-374.70|3095.0,24.87,24.94,24.2,24.94,2257|5020.0,24.85,24.89,23.86,24.860000000000003,359|-4500.0,24.86,24.82,0,0,0|-6582.0,24.91,24.93,24.919999999999998,26.25,355|quote:SPNG:2257:24.20/24.94;quote:SMMR:359:23.86/24.86;quote:WNTR:355:24.92/26.25
36|36|16226.0|16226.0|-5228.0|50000|30000|7.70|838.0,25.13,25.18,24.97,25.14,2798|4661.0,24.84,24.85,23.9,24.85,376|-4500.0,24.86,24.82,0,0,0|-6227.0,24.91,24.92,24.91,26.17,376|quote:SPNG:2798:24.97/25.14;quote:SMMR:376:23.90/24.85;quote:WNTR:376:24.91/26.17
37|37|16596.0|16596.0|-8026.0|50000|30000|1062.64|-1960.0,25.07,25.28,25.27,25.66,2529|4285.0,24.84,24.86,23.98,24.85,394|-4500.0,24.84,24.82,0,0,0|-5851.0,24.91,24.86,0,0,0|quote:SPNG:2529:25.27/25.66;quote:SMMR:394:23.98/24.85
