tick|t_min|agg_exp|gross|net|gross_lim|net_lim|SPNG:pos,bid,ask,our_bid,our_ask,qty|SMMR:pos,bid,ask,our_bid,our_ask,qty|ATMN:pos,bid,ask,our_bid,our_ask,qty|WNTR:pos,bid,ask,our_bid,our_ask,qty|actions
0|0|0.0|0.0|0.0|50000|30000|0.0,25.08,0.0,-0.01,25.09,1000|0.0,25.04,25.07,25.04,25.07,2000|0.0,0.0,0.0,-0.03,0.03,1500|0.0,0.0,0.0,-0.02,0.02,2500|quote:SPNG:1000:-0.01/25.09;quote:SMMR:2000:25.04/25.07;quote:ATMN:1500:-0.03/0.03;quote:WNTR:2500:-0.02/0.02
2|2|3000.0|3000.0|1000.0|50000|30000|-1000.0,25.08,25.1,20.7,29.62,920|2000.0,24.95,25.07,24.71,24.96,1680|0.0,25.0,25.1,16.2,33.9,1500|0.0,24.88,25.0,16.11,33.77,2500|quote:SPNG:920:20.70/29.62;quote:SMMR:1680:24.71/24.96;quote:ATMN:1500:16.20/33.90;quote:WNTR:2500:16.11/33.77
3|3|1320.0|1320.0|-680.0|50000|30000|-1000.0,25.08,25.17,22.06,28.39,920|320.0,24.96,25.08,24.89,25.09,1948|0.0,24.94,25.1,18.75,31.29,1500|0.0,24.96,25.0,18.84,31.12,2500|quote:SPNG:920:22.06/28.39;quote:SMMR:1948:24.89/25.09;quote:ATMN:1500:18.75/31.29;quote:WNTR:2500:18.84/31.12
4|4|1320.0|1320.0|-680.0|50000|30000|-1000.0,24.83,25.13,22.69,27.47,920|320.0,24.97,25.08,24.9,25.08,1948|0.0,24.96,25.03,20.67,29.33,1500|0.0,24.94,25.0,20.65,29.29,2500|quote:SPNG:920:22.69/27.47;quote:SMMR:1948:24.90/25.08;quote:ATMN:1500:20.67/29.33;quote:WNTR:2500:20.65/29.29
6|6|1320.0|1320.0|-680.0|50000|30000|-1000.0,24.61,25.19,23.27,26.73,920|320.0,24.91,24.92,24.87,24.92,1948|0.0,24.87,25.07,21.89,28.05,1500|0.0,24.88,25.03,21.9,28.01,2500|quote:SPNG:920:23.27/26.73;quote:SMMR:1948:24.87/24.92;quote:ATMN:1500:21.89/28.05;quote:WNTR:2500:21.90/28.01
7|7|2628.0|2628.0|-2628.0|50000|30000|-1000.0,25.06,25.18,24.08,26.36,920|-1628.0,24.98,25.03,25.02,25.18,1739|0.0,24.98,25.04,22.88,27.14,1500|0.0,24.91,25.0,22.82,27.09,2500|quote:SPNG:920:24.08/26.36;quote:SMMR:1739:25.02/25.18;quote:ATMN:1500:22.88/27.14;quote:WNTR:2500:22.82/27.09
8|8|1111.0|1111.0|-889.0|50000|30000|-1000.0,24.68,24.75,24.12,25.46,920|111.0,24.99,25.0,24.97,25.0,1982|0.0,24.9,24.94,23.47,26.38,1500|0.0,24.88,24.93,23.44,26.37,2500|quote:SPNG:920:24.12/25.46;quote:SMMR:1982:24.97/25.00;quote:ATMN:1500:23.47/26.38;quote:WNTR:2500:23.44/26.37
9|9|1111.0|1111.0|-889.0|50000|30000|-1000.0,24.94,25.09,24.51,25.72,920|111.0,25.06,25.07,25.04,25.07,1982|0.0,24.93,24.94,23.91,25.96,1500|0.0,24.82,24.84,23.83,25.83,2500|quote:SPNG:920:24.51/25.72;quote:SMMR:1982:25.04/25.07;quote:ATMN:1500:23.91/25.96;quote:WNTR:2500:23.83/25.83
11|11|3093.0|3093.0|1093.0|50000|30000|-1000.0,24.94,24.98,24.61,25.44,920|2093.0,25.0,25.02,24.79,25.01,1665|0.0,24.87,24.9,24.18,25.59,1500|0.0,24.76,24.77,24.08,25.45,2500|quote:SPNG:920:24.61/25.44;quote:SMMR:1665:24.79/25.01;quote:ATMN:1500:24.18/25.59;quote:WNTR:2500:24.08/25.45
12|12|1921.0|1921.0|1761.0|50000|30000|-80.0,24.47,24.51,24.39,24.61,993|1841.0,24.89,25.01,24.72,24.900000000000002,1705|0.0,24.82,24.86,24.35,25.33,1500|0.0,24.75,24.78,24.28,25.25,2500|quote:SPNG:993:24.39/24.61;quote:SMMR:1705:24.72/24.90;quote:ATMN:1500:24.35/25.33;quote:WNTR:2500:24.28/25.25
13|13|1209.0|1209.0|-937.0|50000|30000|-1073.0,24.68,24.69,24.55,24.94,914|136.0,24.92,24.97,24.92,24.95,1978|0.0,25.22,25.25,24.75,25.72,1500|0.0,24.79,24.99,24.43,25.35,2500|quote:SPNG:914:24.55/24.94;quote:SMMR:1978:24.92/24.95;quote:ATMN:1500:24.75/25.72;quote:WNTR:2500:24.43/25.35
14|14|4101.0|4101.0|127.0|50000|30000|-1987.0,24.71,24.84,24.71,25.15,841|2114.0,24.93,24.94,24.71,24.94,1661|0.0,24.85,25.02,24.64,25.23,1500|0.0,24.85,24.87,24.6,25.12,2500|quote:SPNG:841:24.71/25.15;quote:SMMR:1661:24.71/24.94;quote:ATMN:1500:24.64/25.23;quote:WNTR:2500:24.60/25.12
16|16|2440.0|2440.0|-1534.0|50000|30000|-1987.0,24.75,24.76,24.67,25.05,841|453.0,25.0,25.04,24.96,25.01,1927|0.0,24.92,24.97,24.77,25.12,1500|0.0,24.9,24.94,24.71,25.13,2500|quote:SPNG:841:24.67/25.05;quote:SMMR:1927:24.96/25.01;quote:ATMN:1500:24.77/25.12;quote:WNTR:2500:24.71/25.13
17|17|3281.0|3281.0|-2375.0|50000|30000|-2828.0,24.73,25.01,24.9,25.38,773|453.0,24.94,25.08,24.9,25.02,1927|0.0,24.9,24.93,24.8,25.03,1500|0.0,25.07,25.1,24.88,25.29,2500|quote:SPNG:773:24.90/25.38;quote:SMMR:1927:24.90/25.02;quote:ATMN:1500:24.80/25.03;quote:WNTR:2500:24.88/25.29
18|18|4781.0|4781.0|-875.0|50000|30000|-2828.0,25.26,25.31,25.09,25.8,773|453.0,24.95,24.97,24.9,24.96,1927|1500.0,24.68,24.87,24.54,24.71,1320|0.0,24.91,24.92,24.82,25.01,2500|quote:SPNG:773:25.09/25.80;quote:SMMR:1927:24.90/24.96;quote:ATMN:1320:24.54/24.71;quote:WNTR:2500:24.82/25.01
19|19|6982.0|6982.0|-1622.0|50000|30000|-2828.0,25.15,25.16,25.05,25.56,773|-1474.0,24.94,24.95,24.939999999999998,25.1,1764|180.0,24.75,24.84,24.74,24.81,1478|2500.0,24.75,24.77,24.5,24.76,2000|quote:SPNG:773:25.05/25.56;quote:SMMR:1764:24.94/25.10;quote:ATMN:1478:24.74/24.81;quote:WNTR:2000:24.50/24.76
21|21|3056.0|3056.0|-1476.0|50000|30000|-2055.0,24.86,24.93,24.919999999999998,25.13,835|290.0,25.0,25.02,24.97,25.01,1953|-211.0,24.74,24.81,24.77,24.82,1474|500.0,24.81,24.9,24.77,24.84,2400|quote:SPNG:835:24.92/25.13;quote:SMMR:1953:24.97/25.01;quote:ATMN:1474:24.77/24.82;quote:WNTR:2400:24.77/24.84
22|22|4448.0|4448.0|-1362.0|50000|30000|-1220.0,24.82,24.84,24.83,24.97,902|1043.0,24.97,25.01,24.88,24.98,1833|-1685.0,24.96,24.99,24.9,25.24,1297|500.0,24.93,24.96,24.83,24.99,2400|quote:SPNG:902:24.83/24.97;quote:SMMR:1833:24.88/24.98;quote:ATMN:1297:24.90/25.24;quote:WNTR:2400:24.83/24.99
23|23|4962.0|4962.0|-4962.0|50000|30000|-1220.0,24.98,25.02,25.009999999999998,25.14,902|-157.0,24.95,24.98,24.97,24.99,1974|-1685.0,24.96,24.97,24.959999999999997,25.15,1297|-1900.0,24.83,24.91,24.9,25.09,2120|quote:SPNG:902:25.01/25.14;quote:SMMR:1974:24.97/24.99;quote:ATMN:1297:24.96/25.15;quote:WNTR:2120:24.90/25.09
24|24|3562.0|3562.0|2926.0|50000|30000|-318.0,24.78,24.8,24.79,24.84,974|1817.0,24.96,24.98,24.78,24.970000000000002,1709|909.0,24.73,24.92,24.65,24.82,1390|518.0,24.9,24.93,24.85,24.91,2396|quote:SPNG:974:24.79/24.84;quote:SMMR:1709:24.78/24.97;quote:ATMN:1390:24.65/24.82;quote:WNTR:2396:24.85/24.91
26|26|3576.0|3576.0|-1754.0|50000|30000|-318.0,24.78,24.85,24.82,24.87,974|-1866.0,24.95,25.02,25.009999999999998,25.2,1701|-481.0,24.81,24.82,24.81,24.88,1442|911.0,24.85,24.91,24.77,24.860000000000003,2317|quote:SPNG:974:24.82/24.87;quote:SMMR:1701:25.01/25.20;quote:ATMN:1442:24.81/24.88;quote:WNTR:2317:24.77/24.86
27|27|3818.0|3818.0|-1996.0|50000|30000|-318.0,24.82,25.02,24.86,25.04,974|-666.0,25.02,25.05,25.04,25.11,1893|-1923.0,25.0,25.01,24.94,25.27,1269|911.0,24.81,24.91,24.73,24.82,2317|quote:SPNG:974:24.86/25.04;quote:SMMR:1893:25.04/25.11;quote:ATMN:1269:24.94/25.27;quote:WNTR:2317:24.73/24.82
28|28|2549.0|2549.0|-727.0|50000|30000|-318.0,24.81,24.82,24.81,24.87,974|-666.0,25.03,25.09,25.08,25.15,1893|-654.0,24.63,24.98,24.71,25.04,1421|911.0,24.81,24.82,24.71,24.82,2317|quote:SPNG:974:24.81/24.87;quote:SMMR:1893:25.08/25.15;quote:ATMN:1421:24.71/25.04;quote:WNTR:2317:24.71/24.82
29|29|3688.0|3688.0|-1234.0|50000|30000|-318.0,25.05,25.28,24.98,25.41,974|1227.0,24.95,24.97,24.83,24.96,1803|-654.0,24.71,24.73,24.67,24.85,1421|-1489.0,24.8,24.82,24.81,24.97,2202|quote:SPNG:974:24.98/25.41;quote:SMMR:1803:24.83/24.96;quote:ATMN:1421:24.67/24.85;quote:WNTR:2202:24.81/24.97
31|31|2599.0|2599.0|139.0|50000|30000|656.0,24.86,24.93,24.8,24.87,947|-576.0,24.94,25.02,25.009999999999998,25.07,1907|-654.0,24.7,24.72,24.709999999999997,24.79,1421|713.0,24.9,24.91,24.82,24.91,2357|quote:SPNG:947:24.80/24.87;quote:SMMR:1907:25.01/25.07;quote:ATMN:1421:24.71/24.79;quote:WNTR:2357:24.82/24.91
32|32|5927.0|5927.0|-3189.0|50000|30000|656.0,24.71,24.92,24.65,24.84,947|-2483.0,25.04,25.08,25.069999999999997,25.32,1602|-2075.0,24.81,25.01,25.0,25.21,1251|713.0,24.82,24.91,24.76,24.830000000000002,2357|quote:SPNG:947:24.65/24.84;quote:SMMR:1602:25.07/25.32;quote:ATMN:1251:25.00/25.21;quote:WNTR:2357:24.76/24.83
33|33|3640.0|3640.0|-3640.0|50000|30000|-291.0,24.83,24.88,24.86,24.9,976|-881.0,24.93,25.11,25.03,25.19,1859|-824.0,24.93,24.96,24.95,25.04,1401|-1644.0,24.84,24.86,24.849999999999998,25.02,2171|quote:SPNG:976:24.86/24.90;quote:SMMR:1859:25.03/25.19;quote:ATMN:1401:24.95/25.04;quote:WNTR:2171:24.85/25.02
34|34|3118.0|3118.0|-3118.0|50000|30000|-291.0,24.79,25.15,24.83,25.17,976|-881.0,25.03,25.04,25.029999999999998,25.13,1859|-302.0,24.96,24.97,24.959999999999997,25.01,1463|-1644.0,24.85,24.9,24.889999999999997,25.05,2171|quote:SPNG:976:24.83/25.17;quote:SMMR:1859:25.03/25.13;quote:ATMN:1463:24.96/25.01;quote:WNTR:2171:24.89/25.05
36|36|2874.0|2874.0|1404.0|50000|30000|-291.0,24.97,24.99,24.979999999999997,25.03,976|978.0,25.02,25.08,24.93,25.03,1843|1161.0,24.96,24.98,24.84,24.970000000000002,1360|-444.0,24.89,24.94,24.93,24.97,2411|quote:SPNG:976:24.98/25.03;quote:SMMR:1843:24.93/25.03;quote:ATMN:1360:24.84/24.97;quote:WNTR:2411:24.93/24.97
37|37|4121.0|4121.0|921.0|50000|30000|-291.0,24.82,25.21,24.86,25.23,976|-865.0,25.02,25.12,25.11,25.2,1861|2521.0,24.82,24.92,24.58,24.830000000000002,1197|-444.0,24.93,24.94,24.93,24.99,2411|quote:SPNG:976:24.86/25.23;quote:SMMR:1861:25.11/25.20;quote:ATMN:1197:24.58/24.83;quote:WNTR:2411:24.93/24.99
38|38|5778.0|5778.0|5196.0|50000|30000|-291.0,24.93,24.98,24.96,25.0,976|996.0,25.02,25.1,24.93,25.03,1840|1324.0,24.78,24.89,24.66,24.790000000000003,1341|3167.0,24.78,24.94,24.47,24.790000000000003,1866|quote:SPNG:976:24.96/25.00;quote:SMMR:1840:24.93/25.03;quote:ATMN:1341:24.66/24.79;quote:WNTR:1866:24.47/24.79
39|39|2207.0|2207.0|1765.0|50000|30000|685.0,24.96,24.99,24.89,24.970000000000002,945|-204.0,25.0,25.03,25.02,25.05,1967|-17.0,24.82,24.84,24.82,24.85,1497|1301.0,24.81,24.86,24.69,24.82,2239|quote:SPNG:945:24.89/24.97;quote:SMMR:1967:25.02/25.05;quote:ATMN:1497:24.82/24.85;quote:WNTR:2239:24.69/24.82
40|40|4174.0|4174.0|-202.0|50000|30000|685.0,25.07,25.1,25.0,25.080000000000002,945|-2171.0,25.02,25.13,25.119999999999997,25.34,1652|-17.0,24.82,24.84,24.82,24.85,1497|1301.0,24.78,24.79,24.64,24.790000000000003,2239|quote:SPNG:945:25.00/25.08;quote:SMMR:1652:25.12/25.34;quote:ATMN:1497:24.82/24.85;quote:WNTR:2239:24.64/24.79
42|42|3656.0|3656.0|-2286.0|50000|30000|685.0,24.74,24.76,24.57,24.84,945|-519.0,25.05,25.08,25.069999999999997,25.13,1916|-1514.0,24.83,24.88,24.869999999999997,25.02,1318|-938.0,24.93,24.94,24.93,25.04,2312|quote:SPNG:945:24.57/24.84;quote:SMMR:1916:25.07/25.13;quote:ATMN:1318:24.87/25.02;quote:WNTR:2312:24.93/25.04
43|43|1913.0|1913.0|-1913.0|50000|30000|-260.0,25.04,25.08,25.069999999999997,25.11,979|-519.0,24.99,25.08,25.05,25.12,1916|-196.0,24.86,24.87,24.86,24.9,1476|-938.0,24.93,24.94,24.93,25.04,2312|quote:SPNG:979:25.07/25.11;quote:SMMR:1916:25.05/25.12;quote:ATMN:1476:24.86/24.90;quote:WNTR:2312:24.93/25.04
44|44|7015.0|7015.0|3151.0|50000|30000|-260.0,25.25,25.28,25.16,25.42,979|1397.0,25.0,25.01,24.86,25.01,1776|-1672.0,24.86,24.95,24.939999999999998,25.11,1299|3686.0,24.76,24.78,24.39,24.770000000000003,1762|quote:SPNG:979:25.16/25.42;quote:SMMR:1776:24.86/25.01;quote:ATMN:1299:24.94/25.11;quote:WNTR:1762:24.39/24.77
46|46|3395.0|3395.0|1891.0|50000|30000|719.0,25.25,25.27,25.1,25.33,942|-379.0,25.13,25.14,25.13,25.18,1939|-373.0,25.01,25.05,24.98,25.14,1455|1924.0,24.75,25.01,24.57,24.81,2115|quote:SPNG:942:25.10/25.33;quote:SMMR:1939:25.13/25.18;quote:ATMN:1455:24.98/25.14;quote:WNTR:2115:24.57/24.81
47|47|6227.0|6227.0|6227.0|50000|30000|1661.0,24.87,25.08,24.71,24.9,867|1560.0,25.01,25.05,24.86,25.020000000000003,1750|1082.0,24.89,24.91,24.78,24.900000000000002,1370|1924.0,24.77,24.79,24.58,24.78,2115|quote:SPNG:867:24.71/24.90;quote:SMMR:1750:24.86/25.02;quote:ATMN:1370:24.78/24.90;quote:WNTR:2115:24.58/24.78
48|48|1463.0|1463.0|125.0|50000|30000|794.0,25.01,25.06,24.94,25.020000000000003,936|-190.0,25.1,25.14,25.13,25.15,1969|-288.0,25.01,25.03,25.02,25.06,1465|-191.0,24.83,24.86,24.849999999999998,24.87,2461|quote:SPNG:936:24.94/25.02;quote:SMMR:1969:25.13/25.15;quote:ATMN:1465:25.02/25.06;quote:WNTR:2461:24.85/24.87
49|49|7914.0|7914.0|-896.0|50000|30000|1730.0,24.81,24.82,24.53,24.91,861|1779.0,25.03,25.06,24.86,25.040000000000003,1715|-1753.0,25.15,25.17,25.08,25.43,1289|-2652.0,24.9,24.94,24.93,25.2,1969|quote:SPNG:861:24.53/24.91;quote:SMMR:1715:24.86/25.04;quote:ATMN:1289:25.08/25.43;quote:WNTR:1969:24.93/25.20
51|51|3795.0|3795.0|1501.0|50000|30000|869.0,24.78,25.09,0,0,0|1779.0,25.01,25.02,0,0,0|-464.0,24.98,25.11,0,0,0|-683.0,24.81,24.82,0,0,0|unwind:SPNG:SELL:289.0:LMT@24.78;unwind:SMMR:SELL:593.0:LMT@25.01;unwind:ATMN:BUY:154.0:LMT@25.11;unwind:WNTR:BUY:227.0:LMT@24.82
51|51|2532.0|2532.0|1000.0|50000|30000|580.0,25.25,25.27,0,0,0|1186.0,25.01,25.02,0,0,0|-310.0,25.02,25.03,0,0,0|-456.0,24.81,24.82,0,0,0|unwind:SPNG:SELL:193.0:LMT@25.25;unwind:SMMR:SELL:395.0:LMT@25.01;unwind:ATMN:BUY:103.0:LMT@25.03;unwind:WNTR:BUY:152.0:LMT@24.82
52|52|2380.0|2380.0|1152.0|50000|30000|580.0,24.84,24.85,0,0,0|1186.0,24.98,24.99,0,0,0|-310.0,25.03,25.1,0,0,0|-304.0,24.81,24.82,0,0,0|unwind:SPNG:SELL:193.0:LMT@24.84;unwind:SMMR:SELL:395.0:LMT@24.98;unwind:ATMN:BUY:103.0:LMT@25.10;unwind:WNTR:BUY:101.0:LMT@24.82
53|53|1588.0|1588.0|768.0|50000|30000|387.0,25.12,25.22,0,0,0|791.0,24.98,25.01,0,0,0|-207.0,25.06,25.07,0,0,0|-203.0,24.71,24.79,0,0,0|unwind:SPNG:SELL:129.0:LMT@25.12;unwind:SMMR:SELL:263.0:LMT@24.98;unwind:ATMN:BUY:100:LMT@25.07;unwind:WNTR:BUY:100:LMT@24.79
